dimension,rank,oversampling,precision
3,10,0.0,9.486285865183885e-05
3,14,0.0,9.375340572724774e-06
3,18,0.0,2.315115929754938e-07
3,22,0.0,1.6443935890699065e-08
3,26,0.0,1.0122824087492077e-08
3,30,0.0,1.008803148369878e-08
3,10,1.0,5.928674588010912e-05
3,14,1.0,3.231908837808351e-06
3,18,1.0,1.3771863784758037e-07
3,22,1.0,1.2215625772787854e-08
3,26,1.0,1.0140837653580532e-08
3,30,1.0,1.0092635277688936e-08
3,10,3.0,2.0387448427030395e-05
3,14,3.0,9.073405611194495e-07
3,18,3.0,7.251384364373282e-08
3,22,3.0,1.0427235382882483e-08
3,26,3.0,1.0090697409885219e-08
3,30,3.0,1.008863041037763e-08
3,10,5.0,1.9774783355523854e-05
3,14,5.0,9.106871234549841e-07
3,18,5.0,3.605664716638592e-08
3,22,5.0,1.0536317563463993e-08
3,26,5.0,1.0101962547800972e-08
3,30,5.0,1.0089298278896466e-08
3,10,7.0,1.975202384404048e-05
3,14,7.0,8.771381196582047e-07
3,18,7.0,3.660462855312191e-08
3,22,7.0,1.0286982464992743e-08
3,26,7.0,1.0089877007143153e-08
3,30,7.0,1.0089367118993441e-08
4,10,0.0,0.0007112113520795678
4,14,0.0,4.964263137028495e-05
4,18,0.0,3.7413406326663296e-06
4,22,0.0,4.0187811913777187e-07
4,26,0.0,5.36337412131937e-08
4,30,0.0,2.1032695993823425e-08
4,34,0.0,2.1008449804324543e-08
4,38,0.0,2.0975910092528e-08
4,10,1.0,0.00270063109336269
4,14,1.0,3.6189775445530726e-05
4,18,1.0,4.386292340516764e-06
4,22,1.0,3.730051571531332e-07
4,26,1.0,2.6866345433316964e-08
4,30,1.0,2.180229516178721e-08
4,34,1.0,2.098228335691214e-08
4,38,1.0,2.0982866232331605e-08
4,10,3.0,0.00030424821622817725
4,14,3.0,9.174642509925742e-06
4,18,3.0,7.000797212574171e-07
4,22,3.0,9.454530686061193e-08
4,26,3.0,2.263427724509074e-08
4,30,3.0,2.1076941152450206e-08
4,34,3.0,2.0952528755322044e-08
4,38,3.0,2.097652184474105e-08
4,10,5.0,0.0003020227101732963
4,14,5.0,9.389798766660726e-06
4,18,5.0,6.463944752956949e-07
4,22,5.0,9.581919324927533e-08
4,26,5.0,2.0979057372458886e-08
4,30,5.0,2.1024439519836926e-08
4,34,5.0,2.0984687602982835e-08
4,38,5.0,2.097906760153148e-08
4,10,7.0,0.0002884867415946744
4,14,7.0,9.047467158924098e-06
4,18,7.0,6.514343183456515e-07
4,22,7.0,9.696349793742982e-08
4,26,7.0,2.1539600154758962e-08
4,30,7.0,2.099575549093911e-08
4,34,7.0,2.098554031781513e-08
4,38,7.0,2.098318073873857e-08
